14x24 169.in	14x24	15	5040	65371	time out	UNKNOWN
14x24 200.in	14x24	14	4704	59203	474631	SAT
14x24 113.in	14x24	24	8064	129633	997	SAT
14x24 189.in	14x24	26	8736	145561	1054	SAT
14x24 209.in	14x24	14	4704	59251	42521	SAT
14x24 199.in	14x24	12	4032	47616	12155	SAT
14x24 110.in	14x24	20	6720	99048	7224	SAT
14x24 157.in	14x24	16	5376	71969	5431	SAT
14x24 179.in	14x24	13	4368	53327	72163	SAT
14x24 219.in	14x24	15	5040	65317	156599	SAT
14x24 139.in	14x24	20	6720	99253	20215	SAT
14x24 208.in	14x24	20	6720	99118	37276	SAT
